CustomerId,Date,Amount
12347,2010-10-31,611.53
12347,2010-12-07,711.79
12347,2011-01-26,475.39
12347,2011-04-07,636.25
12347,2011-06-09,382.52
12347,2011-08-02,584.91
12347,2011-10-31,1294.32
12347,2011-12-07,224.82
12348,2010-09-27,222.16
12348,2010-12-16,892.8
12348,2011-01-25,227.44
12348,2011-04-05,367
12348,2011-09-25,310
12349,2010-04-29,1068.52
12349,2010-05-18,200
12349,2010-10-28,1402.62
12349,2011-11-21,1757.55
12350,2011-02-02,334.4
12351,2010-11-29,300.93
12352,2010-11-12,143.75
12352,2010-11-29,200.05
12352,2011-02-16,296.5
12352,2011-03-01,144.35
12352,2011-03-17,120.33
12352,2011-03-22,40
12352,2011-09-20,366.25
12352,2011-09-28,266.25
12352,2011-11-03,311.73
12353,2010-10-27,317.76
12353,2011-05-19,89
12354,2011-04-21,1079.4
12355,2010-05-21,488.21000000000004
12355,2011-05-09,459.4
12356,2010-10-11,910.4399999999999
12356,2010-11-11,2301.96
12356,2010-11-24,347.9
12356,2011-01-18,2271.62
12356,2011-04-08,481.46000000000004
12356,2011-11-17,58.349999999999994
12357,2010-11-16,12079.99
12357,2011-11-06,6207.67
12358,2009-12-08,1429.83
12358,2010-06-07,268.1
12358,2010-11-29,1021.08
12358,2011-07-12,484.86
12358,2011-12-08,683.2
12359,2009-12-05,760.69
12359,2010-03-08,337.74
12359,2010-03-23,345.6
12359,2010-06-22,489.8
12359,2010-10-10,551.33
12359,2011-01-12,547.5
12359,2011-02-07,1838.91
12359,2011-06-03,1109.32
12359,2011-10-13,2814.3
12360,2010-02-22,118.00000000000001
12360,2010-03-24,40
12360,2010-05-25,582.04
12360,2010-11-12,690.79
12360,2010-11-25,120
12360,2011-05-23,1083.58
12360,2011-08-19,534.7
12360,2011-10-18,1043.78
12361,2010-01-26,109.19999999999999
12361,2010-05-09,98.15
12361,2010-09-03,114
12361,2011-02-25,189.9
12362,2009-12-01,130
12362,2011-02-17,479.09999999999997
12362,2011-04-28,495.24
12362,2011-07-07,303.76
12362,2011-08-11,469.25
12362,2011-09-28,829.99
12362,2011-10-11,355.8
12362,2011-10-26,786.95
12362,2011-10-28,499.16
12362,2011-11-04,477.94
12362,2011-12-06,529.0400000000001
12363,2011-04-11,299.1
12363,2011-08-22,252.9
12364,2011-08-19,623.92
12364,2011-09-22,79.8
12364,2011-10-30,299.06
12364,2011-12-02,310.32
12365,2011-02-21,320.69
12366,2010-03-16,500.24
12367,2011-12-05,168.9
12368,2010-03-21,917.6999999999999
12369,2010-03-08,348.32
12369,2010-09-16,1259.48
12369,2010-10-22,183.35
12370,2010-02-09,562.96
12370,2010-03-25,211.66
12370,2010-12-14,1587.07
12370,2010-12-17,277.2
12370,2011-03-10,938.39
12370,2011-10-19,739.28
12371,2010-03-04,607.6800000000001
12371,2010-10-26,1571.74
12371,2011-10-11,1527.96
12371,2011-10-26,360
12372,2011-02-16,399.22
12372,2011-05-11,515.7
12372,2011-09-29,383.12
12373,2010-02-04,437.90000000000003
12373,2010-03-25,325.15000000000003
12373,2011-02-01,364.6
12374,2010-04-30,1388.54
12374,2010-10-14,857.75
12374,2011-11-14,742.9300000000001
12375,2011-09-02,230.3
12375,2011-11-29,227.20000000000002
12376,2010-10-18,432.55
12376,2010-11-15,70.6
12377,2010-04-29,1210.96
12377,2010-11-23,587.24
12377,2010-12-20,1001.52
12377,2011-01-28,626.6
12378,2010-05-26,1407.7
12378,2011-08-02,4008.62
12379,2010-06-23,367.48
12379,2010-10-13,400.5
12379,2011-06-22,459.84
12379,2011-09-19,392.4
12380,2010-02-15,1508.65
12380,2010-03-03,200
12380,2010-06-29,2357.35
12380,2010-08-31,1136.84
12380,2011-06-07,607.5500000000001
12380,2011-09-22,626.01
12380,2011-10-14,450.86
12380,2011-11-18,1040.39
12381,2011-08-12,1268.74
12381,2011-10-11,6
12381,2011-10-12,4.5
12381,2011-11-06,419.06
12381,2011-12-05,147.01000000000002
12383,2010-12-22,600.72
12383,2011-01-12,651.16
12383,2011-03-14,357.07
12383,2011-04-15,142.16
12383,2011-06-08,99.45
12384,2011-08-10,292.69
12384,2011-11-11,292.58
12385,2010-11-25,1923.4
12386,2010-12-08,258.9
12386,2011-01-06,143
12387,2010-10-20,143.94
12388,2010-05-06,461.62
12388,2010-09-20,658.83
12388,2011-01-17,431.3
12388,2011-02-07,124.05000000000001
12388,2011-03-09,210.9
12388,2011-07-14,902.09
12388,2011-09-25,825.9200000000001
12388,2011-11-24,286.40000000000003
12389,2010-02-22,164.85
12389,2010-05-21,398.18
12389,2010-11-02,870.3
12390,2011-09-21,549.84
12391,2010-02-15,712.39
12391,2010-02-22,38.099999999999994
12391,2010-04-21,1151.7
12391,2010-09-01,382.99
12391,2011-11-18,439.66
12392,2010-04-27,234.75000000000003
12393,2010-10-07,303.8
12393,2010-11-22,513.05
12393,2011-01-11,462.5
12393,2011-01-14,177.00000000000003
12393,2011-04-08,421.6
12393,2011-09-28,521.5
12394,2011-05-06,381.08
12394,2011-10-07,891.4
12395,2010-04-16,1125.44
12395,2010-08-02,251.38
12395,2010-10-29,325.72
12395,2010-12-03,346.1
12395,2010-12-17,333.82
12395,2011-02-11,231.51
12395,2011-03-23,326.5
12395,2011-05-05,149.97
12395,2011-05-12,181.82
12395,2011-06-30,163.9
12395,2011-08-19,165.95000000000002
12395,2011-10-04,346.68
12395,2011-11-08,506.55
12395,2011-11-20,265.83
12396,2010-02-03,931.43
12397,2011-07-27,1214.81
12397,2011-11-04,1195.09
12398,2011-10-25,1635.66
12399,2010-03-05,205.98
12399,2010-07-08,333.47
12399,2010-11-19,314.2
12399,2011-03-23,288.05
12399,2011-05-10,480.90000000000003
12399,2011-06-09,130.08
12399,2011-08-12,209.62
12400,2010-10-21,205.25
12401,2011-02-09,84.3
12402,2010-02-07,191.7
12402,2010-04-18,313.65
12402,2010-07-06,219.89999999999998
12402,2010-09-15,150.4
12402,2010-11-12,155.65
12402,2011-01-20,225.6
12403,2010-07-06,591.6600000000001
12403,2011-10-21,409.7
12404,2010-01-26,63.24
12405,2011-07-14,1710.39
12406,2010-01-11,881.2
12406,2010-04-22,748
12406,2010-11-05,1345.8600000000001
12406,2011-06-09,1621.25
12406,2011-11-17,1794.05
12407,2011-03-20,226.29999999999998
12407,2011-04-18,269.66
12407,2011-07-06,719.06
12407,2011-07-28,192.34
12407,2011-10-21,300.76
12408,2010-07-29,194.1
12408,2010-09-15,315.06
12408,2010-11-19,943.06
12408,2011-03-24,837.59
12408,2011-06-17,654.18
12408,2011-09-02,642.28
12408,2011-11-07,739.5
12409,2010-05-23,6802.48
12409,2010-10-15,5231.06
12409,2011-06-10,6207.08
12409,2011-09-22,4860.64
12410,2010-07-25,320.38
12410,2011-02-04,693.33
12411,2010-10-26,346.9
12412,2010-06-18,670.88
12412,2010-08-09,505.90999999999997
12412,2010-11-02,193.26
12412,2011-06-23,514.5
12412,2011-07-25,376.24
12412,2011-09-26,336.14
12413,2010-11-02,241.35
12413,2011-01-06,425.25
12413,2011-04-17,84.65
12413,2011-10-04,194.20000000000002
12414,2010-09-02,130
12414,2011-02-02,153.76
12414,2011-04-26,242.8
12414,2011-05-06,165.85
12415,2010-06-30,2326.7400000000002
12415,2010-07-16,336.24
12415,2010-07-30,55
12415,2010-10-15,250.98
12415,2010-10-21,10
12415,2010-11-04,10
12415,2010-11-29,16554.88
12415,2011-01-06,7011.38
12415,2011-01-10,81.6
12415,2011-02-15,14022.92
12415,2011-03-03,16558.14
12415,2011-04-01,350
12415,2011-05-17,11924.800000000001
12415,2011-05-20,766.3599999999999
12415,2011-06-15,23426.81
12415,2011-07-13,2796.36
12415,2011-08-18,21880.44
12415,2011-09-01,2941.7200000000003
12415,2011-10-05,16471.77
12415,2011-11-02,450.24
12415,2011-11-03,375.24
12415,2011-11-15,5355.4
12416,2010-02-21,202.56
12417,2009-12-06,309.1
12417,2009-12-10,8.5
12417,2010-01-08,404.55
12417,2010-03-05,478.54
12417,2010-04-01,245.76
12417,2010-06-17,346.25
12417,2010-07-21,184.55
12417,2010-09-20,284.8
12417,2010-10-01,202.06
12417,2010-10-15,340
12417,2010-10-25,344.2
12417,2010-12-17,291.34
12417,2011-01-25,323.44
12417,2011-03-03,410
12417,2011-04-28,436.3
12417,2011-06-05,437.19
12417,2011-08-04,355.56
12417,2011-08-25,562.69
12417,2011-10-31,462.85
12417,2011-12-06,369.73
12418,2010-03-19,343.94
12418,2010-05-12,535.37
12418,2010-10-22,473.31
12418,2011-08-19,668.58
12419,2010-10-22,322.91
12419,2010-11-19,180.1
12420,2011-10-07,600.39
12421,2010-07-22,77.8
12421,2010-10-20,213.76
12421,2011-01-24,157.45000000000002
12421,2011-06-19,238.58
12421,2011-08-17,231.76
12421,2011-11-24,178.48000000000002
12422,2009-12-18,75
12422,2010-02-14,662.25
12422,2010-04-08,396.2
12422,2010-05-20,404.44
12422,2010-05-25,80
12422,2010-07-02,267.72999999999996
12422,2010-09-15,358.67
12422,2010-10-10,230
12422,2010-10-29,471.55
12422,2010-11-10,369.95
12422,2011-01-19,238.5
12422,2011-06-24,417.36
12422,2011-09-05,147.7
12423,2010-08-31,298.8
12423,2010-11-17,464.28000000000003
12423,2010-12-21,237.93
12423,2011-02-21,192.31
12423,2011-03-21,347.35
12423,2011-04-07,255.36
12423,2011-05-23,333.82
12423,2011-06-01,84.92
12423,2011-08-31,198.98
12423,2011-12-09,208.64000000000001
12424,2010-06-09,446.54
12424,2010-10-13,1132.53
12424,2011-06-30,1760.96
12425,2010-09-17,964.21
12425,2011-09-22,777.2
12426,2010-02-15,762.48
12426,2011-05-29,582.73
12427,2010-12-03,303.5
12427,2011-10-10,282.58
12427,2011-11-18,239.72
12428,2011-03-01,4969.22
12428,2011-03-20,409.2
12428,2011-03-30,558.4
12428,2011-04-11,373.72
12428,2011-07-05,632.44
12428,2011-08-11,605.14
12428,2011-11-14,408.34000000000003
12429,2010-06-11,1407.3600000000001
12429,2010-09-24,1046.65
12429,2010-12-09,1281.5
12429,2011-04-26,437.98
12429,2011-06-20,1125.4
12429,2011-11-30,905.52
12430,2011-10-27,256.4
12431,2010-01-15,1120.27
12431,2010-03-04,394.59
12431,2010-05-21,392.97999999999996
12431,2010-05-24,59.92
12431,2010-06-23,441.5
12431,2010-07-06,294.88
12431,2010-07-19,639.38
12431,2010-08-17,176
12431,2010-09-02,127
12431,2010-10-26,365.75
12431,2010-12-01,358.25
12431,2010-12-17,348.2
12431,2011-01-28,384.68
12431,2011-02-17,640.1
12431,2011-02-27,412.54999999999995
12431,2011-05-12,475.16
12431,2011-05-23,472.09
12431,2011-07-19,483.02000000000004
12431,2011-07-24,505.46
12431,2011-07-26,80.63999999999999
12431,2011-08-12,608.76
